[2020-06-09 10:00:22,658] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-editable.min.js?_=1591668020450 HTTP/1.1" 200 74174
[2020-06-09 10:00:22,951] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/show_trunkcircuit/ HTTP/1.1" 200 217541
[2020-06-09 10:00:23,304] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/show_trunkcircuit/ HTTP/1.1" 200 217541
[2020-06-09 10:00:23,654] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/CMNETwin_2/ HTTP/1.1" 200 21435
[2020-06-09 10:00:23,654] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/show_trunkcircuit/ HTTP/1.1" 200 217541
[2020-06-09 10:00:23,678] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/CMNETwin_2/ HTTP/1.1" 200 21435
[2020-06-09 10:00:23,689] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/CMNETwin_2/ HTTP/1.1" 200 21435
[2020-06-09 10:00:23,690] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.min.js?_=1591668022635 HTTP/1.1" 200 96383
[2020-06-09 10:00:23,698] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/CMNETwin_2/ HTTP/1.1" 200 21435
[2020-06-09 10:00:23,709] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/CMNETwin_2/ HTTP/1.1" 200 21435
[2020-06-09 10:00:23,711] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.datatables.min.js?_=1591668022636 HTTP/1.1" 200 82068
[2020-06-09 10:00:23,722] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/CMNETwin_2/ HTTP/1.1" 200 21435
[2020-06-09 10:00:23,723] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap.min.js?_=1591668022637 HTTP/1.1" 200 28392
[2020-06-09 10:00:23,730] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/CMNETwin_2/ HTTP/1.1" 200 21435
[2020-06-09 10:00:23,738] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/CMNETwin_2/ HTTP/1.1" 200 21435
[2020-06-09 10:00:23,739] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table.min.js?_=1591668022638 HTTP/1.1" 200 114691
[2020-06-09 10:00:23,746] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-zh-CN.min.js?_=1591668022639 HTTP/1.1" 200 9447
[2020-06-09 10:00:23,752] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-fixed-columns.js?_=1591668022640 HTTP/1.1" 200 6049
[2020-06-09 10:00:23,758] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-export.min.js?_=1591668022641 HTTP/1.1" 200 32704
[2020-06-09 10:00:23,764] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/tableExport.min.js?_=1591668022642 HTTP/1.1" 200 37336
[2020-06-09 10:00:23,770] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-editable.min.js?_=1591668022643 HTTP/1.1" 200 74174
[2020-06-09 10:00:24,070] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.min.js?_=1591668022644 HTTP/1.1" 200 96383
[2020-06-09 10:00:24,166] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/show_trunkcircuit/ HTTP/1.1" 200 217541
[2020-06-09 10:00:24,167] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.datatables.min.js?_=1591668022645 HTTP/1.1" 200 82068
[2020-06-09 10:00:24,173] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap.min.js?_=1591668022646 HTTP/1.1" 200 28392
[2020-06-09 10:00:24,182] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table.min.js?_=1591668022647 HTTP/1.1" 200 114691
[2020-06-09 10:00:24,188] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-zh-CN.min.js?_=1591668022648 HTTP/1.1" 200 9447
[2020-06-09 10:00:24,193] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-fixed-columns.js?_=1591668022649 HTTP/1.1" 200 6049
[2020-06-09 10:00:24,200] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-export.min.js?_=1591668022650 HTTP/1.1" 200 32704
[2020-06-09 10:00:24,206] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/tableExport.min.js?_=1591668022651 HTTP/1.1" 200 37336
[2020-06-09 10:00:24,213] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-editable.min.js?_=1591668022652 HTTP/1.1" 200 74174
[2020-06-09 10:00:24,420] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.min.js?_=1591668022653 HTTP/1.1" 200 96383
[2020-06-09 10:00:24,600] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.datatables.min.js?_=1591668022654 HTTP/1.1" 200 82068
[2020-06-09 10:00:24,600] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/show_trunkcircuit/ HTTP/1.1" 200 217541
[2020-06-09 10:00:24,626] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap.min.js?_=1591668022655 HTTP/1.1" 200 28392
[2020-06-09 10:00:24,643] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table.min.js?_=1591668022656 HTTP/1.1" 200 114691
[2020-06-09 10:00:24,654] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-zh-CN.min.js?_=1591668022657 HTTP/1.1" 200 9447
[2020-06-09 10:00:24,660] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-fixed-columns.js?_=1591668022658 HTTP/1.1" 200 6049
[2020-06-09 10:00:24,667] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-export.min.js?_=1591668022659 HTTP/1.1" 200 32704
[2020-06-09 10:00:24,673] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/tableExport.min.js?_=1591668022660 HTTP/1.1" 200 37336
[2020-06-09 10:00:24,680] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-editable.min.js?_=1591668022661 HTTP/1.1" 200 74174
[2020-06-09 10:00:24,892] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.min.js?_=1591668022662 HTTP/1.1" 200 96383
[2020-06-09 10:00:25,068] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.datatables.min.js?_=1591668022663 HTTP/1.1" 200 82068
[2020-06-09 10:00:25,068] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/show_trunkcircuit/ HTTP/1.1" 200 217541
[2020-06-09 10:00:25,075] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap.min.js?_=1591668022664 HTTP/1.1" 200 28392
